206;Carvalho, Vera Lúcia Marinzeck;Petit;Aconteceu;Romance;3
207;Franco, Divaldo Pereira;;Árdua ascesão;Romance;3
208;Lodge, Sir. Oliver ;Edigráfica;Raymond ;Romance;1
209;Xavier, Francisco C.;FEB;50 anos depois;Romance;4
210;Gasparetto, Zibia;Espaço;Somos todos inocentes;Romance;3
211;Frungilo, Wilson Junior;Inst. Dif. Esp;Bairro dos estranhos;Romance;5
212;Machado, Irene Pacheco;Gráfica Ipiranga;Na esperança de uma nova vida;Vida no além;2
213;Camacho, M. ;Livreiro Ltda;Maria Madalena;Romance;1
214;Castro, Monica;Lumem;Rosana a terceira vítima fatal;Romance;1
215;Andrade, Hernani Guimarães;Pensamento;Renasceu por amor;Romance;1
216;Mann, John;Alvorada;Corpo de luz;;1
217;Morato, ângelo;ABC;Oceanos do Infinito;;1
218;Martins, Romualdo Joaquim;Saraiva;Memoria de um médium;;2
219;Rossi, Marlene E.;FEA;A mulher na dimensão;Espirita;1
220;Trigueiriho;Pensamento;Os números e a vida ;;1
221;Trigueiriho;Pensamento;Bases do mundo ardente;;1
222;Trigueiriho;Pensamento;Hora de curar;;1
223;Trigueiriho;Pensamento;Novos oráculos;;1
224;Trigueiriho;Pensamento;Um novo impulso astrológico;;1
225;Curti, Rino;Lake;Espirítismo e conhecimento;Cientifico;1
226;Carvalho, Vera Lúcia Marinzeck;Petit;Reparando erros;Romance;2
227;Ferreira, J. A . Filho;Correio da semana;Arigó e sua mediunidade;Entrevista e Biografia;1
228;Alves, Nércio Antonio;G. E. Ltda;Nós Abortamos;Dissertação;4
229;Alves, Nércio Antonio;G. E. Ltda;Liberta-me;;1
230;Alves, Nércio Antonio;G. E. Ltda;Afogados;Filosófico;2
231;Polidoro, Osvaldo ;Crística;A bíblia dos espiritas;;1
232;Paula, João Teixeira;Editora;Dicionário da parapsicologia;;1
233;Rilke, Rainer M. ;Editora;Poemas e cartas de jovem poeta;;2
234;Trevisan, Lauro ;Ed Distribuidora;O poder infinito de sua mente;;1
235;Drangand, J;Tecnoprint;Parapsicologia;Espiritualista;1
236;Anjos, Luciane dos e Hernani C. Miranda;Fed Esp brasileira;Crônicas de um e de outro;Dissertação;1
237;Gasparetto, Zibia;Espaço;O amor venceu;Romance;1
238;Zezinho, Padre ;Paulinas;O diálogo da vida;;1
239;Rohden, Humberto ;Freitas Bastos;A voz do silencio;Espiritualista;2
240;Macari, N.;Paulinas;Cristãos hoje;Espiritualista;1
241;Angarame, Osvaldo Luiz;Eco;Credo espírita;;1
242;Pedroso, Milton;EGRT;Fantasma em orós;;1
243;Armond, Edgard;Aliança;Na semeadura;;1
244;Prado, Loureço;Pensamento;Criar novo destino;;1
245;Prado, Loureço;Pensamento;Alegria e triunfo;;1
246;Krishina, Murt J. ;Graf. Fassolilo;O homem em confrito;Espiritualista;1
247;Quoist, Michel;Carioca;Construir o homem e o mundo;Espiritualista;2
248;Ferreira, Inácio;Dif. Cultura;A psiquiatria em fase da reencarnação;Cientifico;1
249;Roads, Michel J.;Pensamento;A natureza e o despertar de seu mundo interior;;1
250;Pinillos, José Luiz;Verbo;Segredos da vida mental;;1
251;Ortiz, L. M.;CAPD;Saule a feiticeira;;1
252;Xavier, Francisco C.;FEB;Evolução em dois mundos;Científico;2
253;Brennan, Bárbara Ann.;Pensamento;Mãos de luz;Espiritualista;2
254;Garcia, Wilson;Nova Ação;O centro espírita;Dissertação;1
255;Pinho, João de Deus;EFSJ;O destino do homem;;1
256;Buck, Pearl S;Parma;A senhora Stoner e o mar;Romance;1
257;Neill, A. S.;Ibras;Liberdade sem excesso;;1
258;Espirita anuario;;1976/1982/1987/1992/1986/1979/1985/1988/1984/1981/1997/1983;;
259;Gibram, Kahlil;Record;Espíritos rebeldes;;2
260;Maes, Hercílio; Freitas Bastos;Missão do espiritismo;Espiritualidade;1
261;Rohden, Humberto;Freitas Bastos;Isis;;1
262;Fayad, Aiçor;Nova era;O terceiro Milenio Irmão X;;1
263;Amigo, José;Edicel. Ed;Nicodemus;;1
264;Centro Redentor;Centro Redentor;A vida fora da matéria;;1
265;Denis, Leon;Fed Esp brasileira;Cristianismo e espiritismo;Filosófico;2
266;Hunt, Roland;Pensamento;A sete chaves da cura pela cor;Espiritualista;1
267;Gentile, Salvador;Inst. Dif. Esp;Libertação;Romance;2
268;Xavier, Francisco C.;FEB;Caminho, verdade e vida;Evangélico;5
269;Schutel, Caibar;O Clarim;O espiríto do cristianismo;Dissertação;1
270;Jacinto, Roque;Edicel;Passe e passista;Científico;1
271;Lorenz, Francisco V.;FEB;Esperanto sem mestre;Esperanto;1
272;Xavier, Francisco C.;FEB;Fonte viva;Evangélico;3
273;Franco, Divaldo Pereira;Lisgráfica;Autodescobrimento;Dissertação;2
274;Xavier, Francisco C.;Ideal;Busca e acharás;Meditação;3
275;Vascocelos, Marilusa M.;Edicel;Confidencia de um inconfidente;Romance;1
276;Gasparetto, Zibia;Espaço;Quando a vida escolhe;Romance;3
277;Gasparetto, Zibia;Espaço;Voltas que a vida dá;Contos e Crônicas;2
278;Carvalho, Vera Lúcia Marinzeck;Petit;Vôo da gaivota;Vida no além;4
279;Carvalho, Vera Lúcia Marinzeck;Petit;Valeu a pena;Espíritos diversos;1
280;Carvalho, Vera Lúcia Marinzeck;Petit;Palco das encarnações;Romance;1
281;Xavier, Francisco C.;IDE;Cidade no além;Vida no além;4
282;Correa, Rubens;Ipês;Dr. Leocádio - historia de uma vida;biografia e entrevista;1
283;Kuhl, Eurípedes;Petit;Infidelidade e perdão;Romance;1
284;Camargo, Célia Xavier;Lisgráfica;Céu azul;Romance;1
285;Ohlhaver, Henrich;O Clarim;Os mortos vivem;Científico;1
286;Gentile, Salvador;Inst. Dif. Esp;Senzala;Romance;4
287;Xavier, Francisco C.;O Clarim;Meimei-vida e mensagem;Biografia entr;1
288;Kardec, Allan;Ed. Diversas;O céu e o inferno;Doutrinário;3
289;Cunha, Heigorina;;A força da mente;Dissertação;2
290;Weiss, Brian;Salamandra;Só o amor é real;Espiritualista;2
291;Weiss, Brian;Salamandra;Muitas vidas, muitos mestres;Espiritualista;1
292;Lourenço, Sérgio;;Médiuns, mediunidade e fenômenos mediunicos;Mediunidade;1
293;Rosin, Zilda Giunchetti;Lake;Correio de luz;Mensagem Familiar;2
294;Rochester, J. W. ;FEB;Noema, a bruxa;Romance;1
295;Paiva, Antonio Correa;Nova Letra;Fundamentos do espiritismo;Doutrinário;1
296;Surinach, José;Lake;Zoraida - história de duas vidas;Romance;1
297;Carvalho, Vera Lúcia Marinzeck;Petit;A casa do escritor;Vida no além;5
298;Gasparetto, Zibia;Espaço;A verdade de cada um;Romance;4
299;Pires, J. Herculano;Edicel;Madalena;Romance;1
300;Gibram, Kahlil;Record;Mensagens espirituais;;1
301;;Pensamento;Guia da mediunidade;Mediunidade;1
302;Bastos, Demétrio Pavel;Inst. Maria;Médium quem é quem não é;Mediunidade;2
303;Mota, Eliseu F. Júnior;O Clarim;Aborto;Dissertação;1
304;Gasparetto, Zibia;Dag grafica;O fio do destino;Romance;1
305;Xavier, Francisco C.;GEEM;Vida e caminho;;1
306;Xavier, Francisco C.;FEB;Vida e sexo;Dissertação;3
307;Franco, Divaldo Pereira;Alvorada;Dimensões da verdade;Dissertação;1
308;Miranda, Herminio C.;FEB;Diálogo com as sombras;Mediunidade;1
309;Peralva, Martins ;FEB;Mediunidade e evolução;Mediunidade;3
310;Xavier, Francisco C.;FEB;Abrigo;Meditação;3
311;Xavier, Francisco C.;IDE;Pai nosso;Infantil;2
312;Raniere, R. A.;Dago;A segunda morte;;1
313;Aguaroné, F.;Aliança;Bezerra de Menezes;Biog e entrev;2
314;Yourcenar, Marguerite;;Memórias de Adriano;Romance;1
315;Rodrigues, Wallace Leal V.;O Clarim;Esquina da pedra;Romance;1
316;Dick, R. A .;O Clarim;Vozes na casa;Romance;1
317;Soler, Amalia Domigos;;Memórias do padre Germano;Romance;3
318;Montgamery, Ruth;Record;A vida no além túmulo;Romance;1
319;Yourcenar, Marguerite;;A obra do negro;Romance;1
320;Carvalho, Irene;Lake;Amanhã será outro dia;Romance;1
321;Franco, Divaldo Pereira;Fed Esp Bras;Sublime expiação;Romance;2
322;Franco, Divaldo Pereira;Fed Esp Bras;Loucura e obsessão;Romance;2
323;Xavier, Francisco C.;FEB;Entre a terra e o céu;Vida no além;2
324;Xavier, Francisco C.;FEB;Missionários de luz;Vida no além;4
325;Xavier, Francisco C.;FEB;No mundo maior;Vida no além;1
326;Xavier, Francisco C.;FEB;Ação e reação;Vida no além;3
327;Kundera, Milan;Editora;Risíveis amores;Romance;1
328;Xavier, Francisco C.;FEB;Obreiros da vida eterna;Vida no além;1
329;Effendi, Shoghi;;A presença de Deus;Espiritualista;1
330;Gentile, Salvador;Inst. Dif. Esp;O passe magnético;Científico;1
331;Jacinto, Roque;Luz no Lar;Fabiano de Cristo;Biografia entr;1
332;Sardano, Miguel de Jesus;Luz do Lar;Nas pegadas do nazareno;Biog Dissertação;1
333;Noronha, A. G. Fonseca;Alvorada;O peregrino do senhor;Biografia entr;1
334;Schubert, Sueli Calda;Alvorada;O semeador de estrelas;Mediunidade;5
335;Xavier, Francisco C.;FEB;A caminho da luz;Filosofia;1
336;Imbassahi, Carlos B.;FEB;A mediunidade e a lei;Filosofia;1
337;Kundera, Milan;Editora;A insustentável levesa do ser;Romance;1
338;Xavier, Francisco C.;IDE;Gabriel;Mensagem Familiar;1
339;Franco, Divaldo Pereira;Alvorada;Pelos caminhos de Jesus;Evangélico;1
340;Alves, Nércio Antonio;Lenico;Reparando faltas;Dissertação;2
341;Xavier, Francisco C.;FEB;Nos domingos da mediunidade;Mediunidade;3
342;Franco, Divaldo Pereira;Alvorada;Oferenda;Dissertação;1
343;Barreto, Carmem;Petit;As melhores respostas do imbassahi;Dissertação;1
344;West, Moris; ;A sandalia do pescador;Romance;1
345;Regis, Jaci;;A mulher da dimensão espirita;Dissertação;1
346;Xavier, Francisco C.;FEB;Pontos e contos;Contos e Crônicas;1
347;Tamassia, Mario B.;FEB;A mãe que desistiu do céu;Contos e Crônicas;2
348;Kuhl, Eurípedes;Petit;Animais nossos irmãos;Científico;1
349;Camargo, Célia Xavier;O Clarim;Perante Deus;Vida no além;3
350;Simonetti, Richard;CEAC;O vaso de porcelana;Romance;2
351;Carneiro, Luiz Carlos;Lake;Laços de amor e ódio;Romance;1
352;Kuhl, Eurípedes;Petit;Sempre há uma esperança;Romance;1
353;Maupassant, Guy De.;Clube do Livro;A inconstante;Romance;1
354;Xavier, Francisco C.;IDE;Chão de flores;Trovas;1
355;Tamassia, Mario B. e Henrique Rodrigues;;Em busca da matéria;Científico;1
356;Ó, Fernando do;FEB;Alguém chora por mim;Romance;2
357;Paiva, Ayton;São João;O espiritismo e a politica para nossa sociedade;Científico;1
358;Dubugras, Elisie;Fed Esp brasileira;Renoir e você;Biografia e entrevista;2
359;Jacinto, Roque;FEB;A raínha Anel;Infantil;1
360;Moreli, Jaci;Espirita Cinta;A vovó sabe tudo;Infantil;1
361;Oliveira, Fausto;;Meu anjo;Espiritualista;1
362;Gasparetto, Zibia;Espaço;Pelas portas do coração;Romance;4
363;Gasparetto, Zibia;Espaço;Esmeralda;Romance;3
364;James, Henry ;;Os inocentes;Romance;1
365;Simonetti, Richard;FEESP;Tempo de despertar;Dissertação;1
366;Bastos, Demétrio Pavel;IM;Alô coração;Infantil;1
367;Martins, Celso;Do lar;Caminho de luz;Dissertação;1
368;Franco, Divaldo Pereira;Alvorada;Há flores no caminho;Dissertação;1
369;Franco, Divaldo Pereira;Alvorada;Responsabilidade;Dissertação;1
370;Alves, Nércio Antonio;Lenico;Mãos de Esperança;Dissertação;1
371;Carvalho, Camilo;Lake;Organização de centros espíritas;Doutrina;1
372;Santos, Jamiro Filho;EMC;Vida a dois;Dissertação;1
373;Maurier, Daphne Du;;Rebeca;Romance;1
374;Gide, André;;Os frutos da terra;;1
375;Carvalho, Vera Lúcia Marinzeck;Petit;Reconciliação;Romance;2
376;Xavier, Francisco C.;FEB;O espirito de Cornélio Pires;Poesias e Trovas;1
377;Gama, Zilda;Fed Esp Bras;Dor suprema;Romance;1
378;Peralva, Martins ;FEB;Estudando o evangelho;Mediunidade;3
